Compound_CID,Name,SMILES,InChIKey
4781,Phenylbutazone,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,VYMDGNCVAMGZFE-UHFFFAOYSA-N
4839,Piperidolate,CCN1CCCC(C1)OC(=O)C(C2=CC=CC=C2)C3=CC=CC=C3,KTHVBAZBLKXIHZ-UHFFFAOYSA-N
6047,Levodopa,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O,WTDRDQBEARUVNC-LURJTMIESA-N
14052,Ethambutol,CC[C@@H](CO)NCCN[C@@H](CC)CO,AEUTYOVWOVBAKS-UWVGGRQHSA-N
34040,Nicergoline,CN1C[C@@H](C[C@]2([C@H]1CC3=CN(C4=CC=CC2=C34)C)OC)COC(=O)C5=CC(=CN=C5)Br,YSEXMKHXIOCEJA-FVFQAYNVSA-N
61100,Phenelzine Sulfate,C1=CC=C(C=C1)CCNN.OS(=O)(=O)O,RXBKMJIPNDOHFR-UHFFFAOYSA-N
66069,"10H-Phenothiazine-10-propanamine, N,N-dimethyl-2-(trifluoromethyl)-, monohydrochloride",CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F.Cl,FTNWXGFYRHWUKG-UHFFFAOYSA-N
68553,Miconazole Nitrate,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl.[N+](=O)(O)[O-],MCCACAIVAXEFAL-UHFFFAOYSA-N
16760703,Sodium Valproate,CCCC(CCC)C(=O)[O-].[Na+],AEQFSUDEHCCHBT-UHFFFAOYSA-M
91499,Prochlorperazine Edisylate,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl.C(CS(=O)(=O)O)S(=O)(=O)O,SWOUGRBFXFILIB-UHFFFAOYSA-N
3169,Dropropizine,C1CN(CCN1CC(CO)O)C2=CC=CC=C2,PTVWPYVOOKLBCG-UHFFFAOYSA-N
3371,Flufenamic Acid,C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F,LPEPZBJOKDYZAD-UHFFFAOYSA-N
2366,Betahistine,CNCCC1=CC=CC=N1,UUQMNUMQCIQDMZ-UHFFFAOYSA-N
2446,Bromopride,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Br,GIYAQDDTCWHPPL-UHFFFAOYSA-N
8228,Imipramine Hydrochloride,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,XZZXIYZZBJDEEP-UHFFFAOYSA-N
5831,Carbachol,C[N+](C)(C)CCOC(=O)N.[Cl-],AIXAANGOTKPUOY-UHFFFAOYSA-N
5887,Promazine Hydrochloride,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31.Cl,JIVSXRLRGOICGA-UHFFFAOYSA-N
